Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Quem formulou originalmente o conceito de desobediência civil?,Henry David Thoreau,1.77778,4.37319,1.0,0.400,1.0,2.50045,1.0,0.000
Qual foi um dos movimentos que utilizou a desobediência civil com sucesso?,Movimento pelos direitos civis nos EUA,1.92308,5.20226,1.0,0.333,1.5,3.79304,1.0,0.000
Onde Mahatma Gandhi aplicou o conceito de desobediência civil?,Índia e Paquistão,2.0,4.61384,1.0,0.286,0.66667,2.50045,1.0,0.000
Quem é conhecido por seu trabalho relacionado à desobediência civil na Inglaterra?,Tony Milligan,2.30769,5.20226,1.0,0.429,0.5,1.85566,1.0,0.000
Qual termo é usado para ação direta não violenta contra leis injustas?,desobediência civil,2.0,5.20226,1.0,0.556,0.5,1.85566,1.0,0.500
Que tipo de protestos incluem a desobediência civil em Montenegro?,protestos anti-corrupção e clerical,2.09091,4.82961,1.0,0.333,1.0,3.01273,1.0,0.000
Quem utiliza métodos de desobediência civil na luta pelos direitos das mulheres?,Sisters Uncut,2.61538,5.20226,1.0,0.286,0.5,1.85566,1.0,0.000
Qual é o nome do movimento que se opôs ao Túnel de Thirty Meter Telescope?,Thirty Meter Telescope protests,2.0625,5.65316,1.0,0.333,1.5,3.01273,1.0,0.000
Que técnica foi utilizada durante a crise em Montenegro em 2015-2016?,desobediência civil,1.91667,5.1549,0.90909,0.333,0.5,1.85566,1.0,0.500
Quem utiliza desobediência civil para protestar contra o uso obrigatório do véu islâmico na Irã?,protestos iranianos,2.5,5.65316,1.0,0.444,0.5,1.85566,1.0,0.000
