Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Aqui estão os 10 pares `pergunta,resposta` gerados com base nas instruções e regras fornecidas:,1.0,3.79304,1.0,0.250,2.27273,4.61384,1.0,0.333
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
De que palavra é retirada a palavra farmácia?,iz,1.88889,4.51932,0.875,0.400,0.0,1.0,1.0,0.000
Quais produtos foram vendidos em uma farmácia?,ingredientes para medicamentos,1.75,4.10211,1.0,0.250,0.66667,2.50045,1.0,0.000
De que forma a palavra farmácia era vista pelos falantes de inglês contemporâneos?,desatualizado ou apenas apropriado se os remédios à base de plantas estivessem disponíveis,2.28571,5.48607,0.92308,0.750,1.15385,5.36491,1.0,0.375
De que forma a palavra farmácia era vista pelos falantes de inglês contemporâneos?,desatualizado ou apenas apropriado se os remédios à base de plantas estivessem disponíveis,2.28571,5.48607,0.92308,0.750,1.15385,5.36491,1.0,0.375
De que forma a palavra farmácia era vista pelos falantes de inglês contemporâneos?,desatualizado ou apenas apropriado se os remédios à base de plantas estivessem disponíveis,2.28571,5.48607,0.92308,0.750,1.15385,5.36491,1.0,0.375
De que forma a palavra farmácia era vista pelos falantes de inglês contemporâneos?,desatualizado ou apenas apropriado se os remédios à base de plantas estivessem disponíveis,2.28571,5.48607,0.92308,0.750,1.15385,5.36491,1.0,0.375
De que forma a palavra farmácia era vista pelos falantes de inglês contemporâneos?,desatualizado ou apenas apropriado se os remédios à base de plantas estivessem disponíveis,2.28571,5.48607,0.92308,0.750,1.15385,5.36491,1.0,0.375
De que forma a palavra farmácia era vista pelos falantes de inglês contemporâneos?,desatualizado ou apenas apropriado se os remédios à base de plantas estivessem disponíveis,2.28571,5.48607,0.92308,0.750,1.15385,5.36491,1.0,0.375
De que forma a palavra farmácia era vista pelos falantes de inglês contemporâneos?,desatualizado ou apenas apropriado se os remédios à base de plantas estivessem disponíveis,2.28571,5.48607,0.92308,0.750,1.15385,5.36491,1.0,0.375
De que forma a palavra farmácia era vista pelos falantes de inglês contemporâneos?,desatualizado ou apenas apropriado se os remédios à base de plantas estivessem disponíveis,2.28571,5.48607,0.92308,0.750,1.15385,5.36491,1.0,0.375
De que forma a palavra farmácia era vista pelos falantes de inglês contemporâneos?,desatualizado ou apenas apropriado se os remédios à base de plantas estivessem disponíveis,2.28571,5.48607,0.92308,0.750,1.15385,5.36491,1.0,0.375
