pergunta;resposta
Qual o principal princípio de funcionamento de uma máquina a vapor? ;Utilização de vapor como fluido de trabalho para gerar movimento.
Como a força do vapor é transformada em trabalho útil? ;Através de um pistão, sistema de bielas e manivelas.
Qual o tipo de combustão em motores a vapor? ;Combustão externa, separando fluido de trabalho dos produtos.
Qual ciclo termodinâmico é usado para analisar motores a vapor? ;Ciclo de Rankine.
Quem patenteou o primeiro sistema de bombeamento de água a vapor? ;Jerónimo de Ayanz y Beaumont.
Quem é considerado o inventor do primeiro dispositivo a vapor comercialmente utilizado? ;Thomas Savery.
Qual foi o principal avanço de James Watt em 1764? ;Remoção do vapor gasto para condensação separada.
Qual o papel das máquinas a vapor na Revolução Industrial? ;Impulsionaram fábricas, transporte e energia.
Em que período as turbinas a vapor substituíram os motores a pistão? ;Século XIX, na geração de energia.
Quais fatores levaram à substituição gradual dos motores a vapor? ;Avanços em motores elétricos e de combustão interna.
