Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Imunidade inata,Ação de defesa não adaptada contra patogêns comuns.,0.5,1.85566,1.0,0.000,1.88889,4.37319,1.0,0.333
Imunidade adaptativa,Resposta específica após exposição a patogênes,0.5,1.85566,1.0,0.000,1.33333,3.79304,1.0,0.250
Complemento sistema,Ajuda na eliminação de patogênes via opsonização.,0.5,1.85566,1.0,0.500,1.75,4.10211,1.0,0.000
Phagocitose,Processamento celular de substâncias estranhas.,0.0,1.0,1.0,0.000,1.5,3.43523,1.0,0.500
Defensinas,Pequenas moléculas antimicrobianas nas mucosas.,0.0,1.0,1.0,0.000,2.0,3.43523,1.0,0.000
Vacinação,Estimulação do sistema imune para combater determinados patogênes.,0.0,1.0,1.0,0.000,1.88889,4.37319,1.0,0.333
Memória imunológica,Conhecimento específico de patogênes para resposta mais eficaz.,0.5,1.85566,1.0,0.000,1.77778,4.37319,1.0,0.333
Doença autoimune,Ataque do sistema imune a tecidos do próprio corpo.,0.5,1.85566,1.0,0.000,2.2,4.75438,0.88889,0.400
Imunodeficiência genética,Falha congênita no desenvolvimento do sistema imune.,0.5,1.85566,1.0,0.500,3.5,4.10211,1.0,0.400
Imunosupressão medicamentosa,Suppressione dos respostas imunes,0.5,1.85566,1.0,0.000,1.5,3.01273,1.0,0.000
Inflamação,Respondibilidade do organismo a lesões ou infecções,0.0,1.0,1.0,0.000,1.28571,4.10211,1.0,0.250
