pergunta;resposta
1. **Pergunta:** Qual a classe de Fresno; California?
2. **Pergunta:** Qual o demônimo da população de Fresno; California?
   **Resposta:** O demônimo da população de Fresno; California é Fresnan.
3. **Pergunta:** Qual a área total de Fresno; California em milhas quadradas?
   **Resposta:** A área total de Fresno; California é 4722.6 milhas quadradas.
5. **Pergunta:** Qual o nome de um ator nascido em Fresno; California?
   **Resposta:** Kevin Federline é um ator nascido em Fresno; California.
7. **Pergunta:** Qual a área total de Fresno; California em quilômetros quadrados?
   **Resposta:** A área total de Fresno; California é 300.43 quilômetros quadrados.
   **Resposta:** William Saroyan morreu em Fresno; California.
9. **Pergunta:** Qual o nome do teatro localizado em Fresno; California?
   **Resposta:** Warnors Theatre está localizado em Fresno; California.
10. **Pergunta:** Qual o nome da feira que acontece em Fresno; California?
