pergunta;resposta
Quais são as fontes principais do Direito da União Europeia?;Tratados, regulamentos, diretrizes, decisões e recomendações
Qual é a função da Corte de Justiça da União Europeia?;Garantir o cumprimento do Direito da União Europeia e interpretá-lo uniformemente
O que significa o princípio da supremacia do Direito da União Europeia?;O Direito da União é superior ao Direito nacional, podendo anular leis nacionais contrárias
Quais são os principais órgãos da União Europeia?;Comissão Europeia, Parlamento Europeu, Conselho da União Europeia e Corte de Justiça
Qual é o objetivo da Diretiva Europeia?;Estabelecer objetivos a serem alcançados pelos Estados-Membros, com flexibilidade na forma de execução
O que caracteriza o direito de iniciativa na União Europeia?;Apenas a Comissão Europeia possui o direito de propor novas leis
Quais são os direitos fundamentais protegidos pela União Europeia?;Direito à liberdade, igualdade, privacidade e proteção contra a discriminação
Qual é a diferença entre regulamento e diretriz na União Europeia?;O regulamento é diretamente aplicável, enquanto a diretriz exige adaptação pelos Estados-Membros
O que significa a "eficácia horizontal" do Direito da União Europeia?;O Direito da União é aplicável entre particulares, não apenas entre Estados e instituições
Qual é o papel do Tribunal de Justiça da União Europeia em casos de conflito?;Decidir sobre a interpretação e aplicação do Direito da União, garantindo sua uniformidade
