pergunta;resposta
Alright, so I need to generate 10 question-answer pairs in Portuguese based on the given context about Islamism. The output should be a CSV with each line formatted as "pergunta;resposta". Let me start by reading through the provided context carefully to understand the key points.
pergunta;resposta
O que é o islamismo?;Ideologia que propõe reestruturação dos estados conforme práticas islâmicas autênticas.
Quais são as estratégias adotadas pelos islamistas?;Revolucionária ou reformista.
Quem são figuras importantes no islamismo?;Hassan al-Banna, Sayyid Qutb.
O que os islamistas enfatizam?;Aplicação da sharia e unidade islâmica.
Como os islamistas veem as influências Ocidentais?;Incompatíveis com o islam e forma de neocolonialismo.
Qual termo preferem alguns islamistas?;"Movimento islâmico" ou "ativismo islâmico".
Quais movimentos são influenciados pelo islamismo?;Irmã Fraternal Muçulmana, ISIL.
Qual foi o impacto do islamismo no Oriente Médio?;Alterou política e fronteiras.
Como a academia define o islamismo?;Princípios islâmicos na vida pública sem especificar a ordem Sharia.
Quais abordagens políticas os islamistas usam?;Paz ou meios revolucionários.
