Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
De onde nasce o rio Reno?,Suíça,1.57143,3.79304,1.0,0.333,0.0,1.0,1.0,0.000
Quais países o Reno bordeja inicialmente?,Suiça-Liechtenstein,1.85714,3.79304,1.0,0.000,0.0,1.0,1.0,0.000
Qual é o rio mais longo na Europa Central e Ocidental (após o Danúbio)?,O Reno,2.52941,5.63172,0.92857,0.375,0.5,1.85566,1.0,0.000
Qual é a vazão do Reno?,Aproximadamente 2.900 metros cúbicos por segundo,1.71429,3.79304,1.0,0.000,1.5,3.79304,1.0,0.500
Quais Estados da Alemanha são nomeados após o Reno?,Renato-Westfalia do Norte e Renato-Lorena,2.4,4.61384,1.0,0.200,1.4,3.43523,1.0,0.000
Em qual região o Reno corre na Alemanha?,Rineland,2.0,4.37319,1.0,0.250,0.0,1.0,1.0,0.000
Em qual país o Reno desemboca no Mar do Norte?,Países Baixos,2.81818,4.82961,1.0,0.333,0.5,1.85566,1.0,0.000
O que o Reno fazia durante o Império Romano?,Fronteira nordeste,1.8,4.92241,0.77778,0.000,0.5,1.85566,1.0,0.500
Quais cidades são importantes ao longo do Reno?,Colônia,1.77778,4.37319,1.0,0.250,0.0,1.0,1.0,0.000
De onde vem o nome Reno?,Do celta Rēnos,1.57143,3.79304,1.0,0.333,1.0,2.50045,1.0,0.000
