Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
O que é a comutação de pacotes?,Um método de agrupamento de dados em pacotes para transmissão.,1.625,4.10211,1.0,0.000,1.72727,4.96484,0.9,0.400
Quem desenvolveu o conceito de comutação de bloco de mensagem adaptável distribuída?,Paul Baran,2.46154,5.47097,0.83333,0.429,0.5,1.85566,1.0,0.000
Qual era o objetivo do conceito desenvolvido por Paul Baran?,Fornecer um método de roteamento tolerante a falhas e eficiente.,2.0,4.82961,1.0,0.833,2.27273,4.82961,1.0,0.333
Qual organização financiou a pesquisa de Paul Baran?,O Departamento de Defesa dos Estados Unidos.,1.77778,4.37319,1.0,0.400,2.0,4.10211,1.0,0.167
O que contradizia o conceito de Baran?,Princípios estabelecidos anteriormente de pré-alocação de largura de banda.,1.625,4.25402,0.85714,0.333,1.8,4.92241,0.77778,0.333
Quem cunhou o termo moderno comutação de pacotes?,Donald Davies,2.11111,4.37319,1.0,0.400,0.5,1.85566,1.0,0.000
Onde Donald Davies trabalhou?,No Laboratório Nacional de Física.,1.6,3.01273,1.0,0.000,1.83333,3.43523,1.0,0.250
Qual a função do cabeçalho em um pacote de dados?,Direcionar o pacote ao seu destino.,2.18182,4.82961,1.0,0.500,1.71429,3.79304,1.0,0.667
Qual a principal base para as comunicações de dados em redes de computadores?,A comutação de pacotes.,1.78571,5.48607,0.92308,0.333,1.4,3.01273,1.0,0.000
O que a comutação de pacotes permite?,Agrupamento de dados em pacotes para transmissão.,2.0,4.10211,1.0,0.000,1.625,4.10211,1.0,0.250
