pergunta;resposta
Qual foi o papel dos normandos na Conquista Normanda da Inglaterra?;Os normandos, liderados por Guilherme, Conde de Pómiers (William the Conqueror), conduziram a Conquista Normanda da Inglaterra em 1066.
Quais foram os principais combatentes dos normandos na Batalha de Cerami?;Os normandos foram um dos dois lados envolvidos na Batalha de Cerami, que ocorreu em 1060.
Onde se estabeleceram os normandos na península italiana?;Os normandos estabeleceram estados na Sicília e sul da península Itálica, especialmente em Puglia e Calabria.
Qual foi a língua falada pelos normandos?;Os normandos falavam uma variante do antigo nórdico, conhecido como old norman ou langue d'oïl.
Quais foram os principais combatentes dos normandos na Batalha de Soissons (923)?;Os normandos foram um dos lados envolvidos na Batalha de Soissons (923).
Qual foi o papel dos normandos no estabelecimento do Castelo de Dun Dearg Motte?;Os normandos foram os ocupantes do Castelo de Dun Dearg Motte, na Irlanda.
Qual foi o papel dos normandos no estabelecimento da Catedral de St. Bride's em Llansantffraed?;Os normandos foram responsáveis pela construção da Catedral de St. Bride's em Llansantffraed, após a invasão anglo-saxônica.
Quais foram os principais combatentes dos normandos na Batalha de Mortehoe?;Os normandos foram um dos lados envolvidos na Batalha de Mortehoe, que ocorreu em 1042.
Qual foi o papel dos normandos no estabelecimento do Castelo de Chepstow?;Os normandos foram os ocupantes do Castelo de Chepstow, na Inglaterra.
Quais foram as principais religiões dos normandos?;Os normandos praticavam principalmente o cristianismo, mas muitos deles também seguiam o nórdico antigo ou pagão antes da conversão.
