pergunta;resposta
O que é um ctenophora?;filo de animais que vivem em águas marinhas
O que o ctenophora usa para nadar?;pentes' - grupos de cílios
Onde vive o ctenophora?;águas marinhas
Qual é a característica mais distinta do ctenophora?;pentes' - grupos de cílios
Qual o tamanho da ctenophora?;1,5 m (4 pés 11 pol)
O que ctenophora usa para digestão e respiração?;fluxo de água através da cavidade do corpo
Qual é a classificação taxonômica dos ctenophores?;Classificação: Animal, Organismo, Filo Ctenophora
Do que o registro fóssil inclui relacionado com ctenophora?;Registro fóssil desde o Cambriano
O que significa ctenophora em grego?;κτείς kteis 'comb' e φέρω pherō 'carry
São os ctenophora bioluminescentes?;Sim, são bioluminescentes
