Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual é o principal fluido utilizado em uma máquina a vapor?,vapor de água,2.5,5.02467,1.0,0.500,0.66667,2.50045,1.0,1.000
Quem é conhecido por inventar a máquina a vapor?,Thomas Newcomen,2.3,4.75438,0.88889,0.800,0.5,1.85566,1.0,0.000
Qual princípio utiliza a máquina a vapor para gerar energia?,expansão do vapor,2.09091,4.96484,0.9,0.833,1.0,2.50045,1.0,0.500
Em qual componente da máquina a vapor ocorre a expansão do vapor?,turbina ou êmbolo,2.23077,5.47097,0.83333,0.333,0.66667,2.50045,1.0,0.000
Qual empresa está associada à produção de motores a vapor?,AG Weser,2.36364,4.82961,1.0,0.500,0.5,1.85566,1.0,0.000
Qual navio é propulsado por uma máquina a vapor?,USS Montclair (ID-3497),2.1,4.61384,1.0,0.600,2.0,2.50045,1.0,0.000
Que tipo de conversão de energia está envolvido nas máquinas a vapor?,conversão de calor em trabalho mecânico,2.76923,5.32781,0.91667,0.429,0.83333,3.79304,1.0,1.000
Como a máquina a vapor transfere energia térmica para mecânica?,através da força do vapor expandido,2.45455,4.96484,0.9,0.500,1.83333,3.79304,1.0,0.667
Qual é o principal uso das máquinas a vapor hoje?,geração de eletricidade em reatores nucleares,3.09091,4.82961,1.0,0.667,0.83333,3.79304,1.0,0.500
O que acontece com a temperatura e energia durante a expansão do vapor?,diminuição de temperatura e liberação de energia,2.85714,5.48607,0.92308,0.600,1.14286,4.25402,0.85714,0.750
