pergunta;resposta
Quantos países têm territórios dentro da região da Amazônia?;Nove nações
Qual país contém a maior parte das florestas da Amazônia?;Brasil
Quais porcentagens da Floresta Amazônica estão localizadas no Brasil e no Peru, respectivamente?;60% no Brasil e 13% no Peru
A qual bioma a Floresta Amazônica pertence?;Amazônia
Quando a Floresta Amazônica foi reconhecida como uma das Novas Sete Maravilhas da Natureza?;Em 2007
Qual é o ponto de coordenadas geográficas especificado para a Amazônia?;-3.0 -60.0
Qual é a área total da Floresta Amazônica em quilômetros quadrados?;5,500,000 km²
Em que ano a Floresta Amazônica foi inscrita na lista de Patrimônios Mundiais da UNESCO?;Em 2000
Quantos tipos principais de árvores são encontrados na Amazônia, de acordo com a sua capacidade de sobrevivência à seca?;Duas classes principais: aquelas que retêm água durante a estação seca e as que não
Qual é o tipo principal de vegetação encontrado na Floresta Amazônica?;Floresta tropical úmida
