pergunta;resposta
"Qual é o principal objetivo do Islanismo político?";"Implementar a Sharia (lei islâmica) e criar Estados islâmicos."
"Qual organização política está associada ao movimento Islamista no Egito?";"Brotherhood dos Irmãos Muçulmanos no Egito."
"Que grupo rebelde sírio está ligado ao Islanismo político?";"19th Division (Syrian Rebel Group)."
"Que ideologia é defendida pelo Hefazat-e-Islam Bangladesh?";"O Islão como a base da lei e da sociedade."
"Qual movimento político no África do Norte se afiliou ao Islanismo político?";"Movement for Democracy in Algeria."
"Que grupo islâmico está associado à imagem de Mohammad Hadi Milani (1791)?";"Talibanes."
"O que o Islamic State – West Africa Province se dedica a promover?";"Implantar a Sharia na África Ocidental."
"Qual papel desempenha a Shia Ulema Council no contexto do Islanismo político?";"Promover a unidade islâmica e a adoção da lei islâmica."
"Qual organização indonésia está associada ao Islão político?";"Darul Islam (Indonesia)."
"Que evento violento foi motivado pelo Islão político no Afeganistão em 2022?";"Massacres de Bankass."
