pergunta;resposta
Qual é o principal objetivo do sistema imunológico?;proteger o organismo contra doenças.
Que agentes patogénicos são reconhecidos pelo sistema imunológico?;patógenos.
Qual mecanismo protege o cérebro e a systema nervosa?;o sistema neuroimune.
Quais são os dois tipos principais de imunidade no organismo?;a imunidade humoral e a imunidade mediada por células adaptativas.
O que distingue o sistema imunológico inato do adaptativo?;o sistema imunológico inato é não específico, enquanto o adaptativo é específico.
Como o sistema imunológico cria memória de uma infecção passada?;através da memorização das células B e T, permitindo uma resposta mais rápida a novos ataques do mesmo patógeno.
Qual tipo de célula é essencial na defesa contra infecções?;as células neutrófilas.
Que mecanismo permite que certas células identifiquem células estranhas?;a expressão de molécules específicas na superfície dos patógenos.
Qual componente adaptativo do sistema imunológico envolve a colaboração entre células B e T?;a resposta adaptativa humoral e celular.
Quem é creditado como o pai da imunologia?;Ilya Ilyich Mechnikov.
