pergunta;resposta
Que tipo de motor é um motor a vapor?;combustão externa,
Quem melhorou o motor de Newcomen e o tornou mais eficiente?;James Watt,
Qual o principal benefício da invenção da bomba de vapor de Savery?;pode bombear água para cima,
Em que ano James Watt patenteou seu motor a vapor aprimorado?;1769,
Qual a função do governador centrífugo em um motor a vapor?;controla a velocidade do motor,
Qual o princípio de funcionamento do motor atmosférico?;cria um vácuo parcial para puxar um pistão,
Em que século a invenção do motor a vapor teve um impacto significativo na Revolução Industrial?;século XVIII,
Além de locomotivas e barcos, para que mais os motores a vapor foram usados?;indústria têxtil, mineração e agricultura,
Qual a relação entre o ciclo de Rankine e os motores a vapor?;o ciclo de Rankine modela o processo termodinâmico dos motores a vapor,
O que é um injetor de alimentação de caldeira?;dispositivo para bombear água para a caldeira de um motor a vapor.
