Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Quando foi revogado o Édito de Nantes?,em 18 de outubro de 1685,1.625,4.10211,1.0,0.200,1.0,3.95066,0.83333,0.333
Qual foi a principal razão para a fuga dos huguenotes da França?,as perseguições contra as comunidades protestantes,2.23077,5.32781,0.91667,0.500,0.83333,3.95066,0.83333,0.000
Qual é a principal religião entre os huguenotes?,calvinismo,1.66667,4.37319,1.0,0.500,0.0,1.0,1.0,0.000
Onde estavam principalmente localizados os huguenotes na França?,nas partes sul e central da França,1.77778,4.37319,1.0,0.167,1.42857,4.10211,1.0,0.500
Qual é a relação entre os camisardes e os huguenotes?,os camisardes são um subgrupo de huguenotes,1.81818,4.96484,0.9,0.250,1.0,4.10211,1.0,0.250
Qual rei da França era um huguenote?,Henri IV,2.375,4.10211,1.0,0.500,0.5,1.85566,1.0,0.000
Qual lugar foi nomeado em homenagem aos huguenotes?,Huguenot,1.88889,4.37319,1.0,0.400,0.0,1.0,1.0,0.000
Qual é a imagem representativa dos huguenotes?,CalasChapbook.jpg,2.0,4.10211,1.0,0.250,1.0,1.0,1.0,0.000
Qual é a categoria relacionada à história dos huguenotes na França?,Category:Huguenot history in France,3.5,5.02467,1.0,0.333,1.16667,3.43523,1.0,0.000
Quais foram as guerras que envolveram os huguenotes?,as guerras religiosas na França (segunda metade do século XVI),1.66667,4.37319,1.0,0.000,2.41667,4.82961,1.0,0.286
