pergunta;resposta
O que é um número primo?;Um número primo é um número natural maior que 1 que admite apenas dois divisores inteiros positivos: 1 e ele mesmo.
Qual é o menor número primo?;2
Liste os números primos menores que 10.;2, 3, 5, 7
É primo o número 9?;Não, pois 9 pode ser dividido por 3.
Qual é o próximo número after 13 que é primo?;17
É primo o número 1?;Não, pois 1 não é considerado um número primo.
Qual é a soma dos dois primeiros números primos?;5 (2 + 3)
É primo o fatorial de 4?;Sim, pois 4! = 24 e 24 é primo.
Qual é a natureza dos números primos adjacentes a um número composto?;Eles podem ser primos ou compostos, conforme o caso.
Quantidade de números primos em um intervalo de 10 números consecutivos será sempre a mesma?;Não, a densidade dos números primos varia de acordo com o tamanho do número.
