pergunta;resposta
Qual é a área total da bacia amazônica?;7.000.000 quilômetros quadrados (2.700.000 milhas quadradas)
Quantos países abrigam o Amazonas na América do Sul?;nove países
Quais são os dois maiores detentores de floresta amazônica?;Brasil e Peru
Qual é a porcentagem da floresta amazônica dentro de seu país?;60% está no Brasil
Quantos grupos indígenas isolados ainda existem na Amazônia?;60 grupos
Quanto da terra total do Amazonas é coberto pela floresta tropical?;mais da metade
Quantas espécies diferentes de árvores podem ser encontradas no Amazonas?;16.000 espécies
Qual é o nome nativo em espanhol para a Amazônia?;Selva amazónica
Quantos milhões de indivíduos de árvores compõem a floresta amazônica estimados?;390 bilhões
Quantas nações contêm "Amazonas" no nome de suas divisões administrativas?;quatro nações
