```csv
subject,predicate,object
"dbr:Scottish_Parliament","dbr:backgroundColor","#500791"
"dbr:Scottish_Parliament","dbr:committees","Europe and External Relations"
"dbr:Scottish_Parliament","dbr:committees","Finance"
"dbr:Scottish_Parliament","dbr:committees","Health and Sport"
"dbr:Scottish_Parliament","dbr:committees","Justice"
"dbr:Scottish_Parliament","dbr:committees","Local Government and Communities"
"dbr:Scottish_Parliament","dbr:committees","Public Petitions"
"dbr:Scottish_Parliament","dbr:committees","Rural Affairs and Environment"
"dbr:Scottish_Parliament","dbr:leader","dbr:George_Adam"
"dbr:Scottish_Parliament","dbr:meetingPlace","dbr:Scottish_Parliament_Building"
"dbr:Scottish_Parliament","dbr:meetingPlace","Edinburgh, Scotland"
"dbr:Scottish_Parliament","dbr:leader1Type","dbr:Presiding_Officer_of_the_Scottish_Parliament"
"dbr:Scottish_Parliament","dbr:leader2Type","dbr:First_Minister_of_Scotland"
"dbr:Scottish_Parliament","dbr:legislature","6"
"dbr:Scottish_Parliament","dbr:politicalGroups","Government"
"dbr:Scottish_Parliament","dbr:politicalGroups","Opposition"
"dbr:Scottish_Parliament","dbr:politicalGroups","Other"
"dbr:Scottish_Parliament","dbr:portal","Scotland"
"dbr:Scottish_Parliament","dbr:party","dbr:Scottish_National_Party"
```
