pergunta;resposta
A Peste Negra é conhecida por ter ocorrido em qual período histórico?;Idade Média
Qual foi o número estimado de mortes na Eurásia devido à Peste Negra?;75 a 200 milhões de pessoas
Quais são as formas da peste causada pela bactéria Yersinia pestis mencionadas no texto?;Septicémica, pneumónica e bubónica
Qual foi o período em que a Peste Negra atingiu seu pico na Europa?;Entre 1347 e 1351
Como a praga se espalhou da Crimeia para o resto da Europa?;Por meio de pulgas que viviam nos ratos em navios mercantes genoveses
Qual foi a estimativa de morte da população europeia durante a Peste Negra?;Entre 30% a 60%
Quantas décadas foram necessárias para que a população da Europa se recuperasse do impacto da Peste Negra?;200 anos
Em qual região a Peste Negra teve sua origem, de acordo com o texto?;Ásia Central ou Ásia Oriental
Qual é a imagem representativa mencionada no contexto que mostra uma pulga infectada com Yersinia pestis?;Flea infected with yersinia pestis.jpg
Quem foi um dos principais atores na área de estudo da Peste Negra, mencionado no texto?;Ole Jørgen Benedictow
