pergunta;resposta
I need to structure these into CSV format, ensuring each line is "pergunta;resposta" without any additional text. Let me check for clarity and correctness, making sure no information is added beyond what's provided.
Quando ocorreu a Guerra Franco-Indígena?;1754 - 1763
Quais foram as principais potências europeias envolvidas na guerra?;Britânicos e Franceses
Qual povo nativo americano se aliou aos britânicos?;Iroqueses
Nomeie uma batalha importante onde os britânicos alcançaram uma vitória significativa.;Batalha de Quebec (1759)
Quem foi um líder militar destacado dos britânicos na guerra?;James Wolfe
Qual fator estratégico foi crucial para a dominação britânica?;O controle naval permitiu dominar as rotas comerciais e isolar as forças francesas.
Nomeie um comandante militar francês importante na América do Norte.;Louis-Joseph de Montcalm
Quando ocorreu a fase decisiva da guerra?;Entre 1758 e 1760, com vitórias britânicas decisivas.
Qual povo nativo americano apoiou os franceses?;Algonquins
Qual foi um consequência importante da vitória britânica na guerra?;Os britânicos obtiveram o controle de todos os territórios franceses no Canadá.
