pergunta;resposta
Qual é o nome holandês para a floresta amazônica?;Amazoneregenwoud)
Quantas espécies de árvores podem ser encontradas na floresta amazônica?;16.000
A Amazônia representa quantos quilômetros quadrados da floresta tropical do planeta?;5.500.000 quilômetros quadrados (2.100.000 milhas quadradas) são cobertos pela floresta tropical.
Quais nações controlam a floresta amazônica?;A Amazônia é compartilhada entre nove países da América do Sul: Brasil, Peru, Equador, Colômbia, Venezuela, Bolívia, Guiana, Guiana Francesa e Suriname.
"Quantas nações contêm ""Amazonas"" em seus nomes?";"Estados ou departamentos de quatro nações contêm ""Amazonas"" em seus nomes. São elas: Brasil, Venezuela, Peru e Equador."
Qual porcentagem da floresta tropical do planeta é coberta pela Amazônia?;A Amazônia representa mais da metade das florestas tropicais remanescentes do planeta
Quantos quilômetros quadrados de floresta tropical são cobertos na bacia amazônica?;5.500.000 quilômetros quadrados (2.100.000 milhas quadradas) são cobertos pela floresta tropical.
Em que país a maior parte da floresta amazônica está localizada?;O Brasil é o principal detentor desta grande área de floresta, seguido por países como Peru, Equador e Colômbia.
Que porcentagem a Amazônia representa das florestas tropicais do mundo?;A representação da Amazônia nas florestas tropicais do planeta é mais de metade
Qual nome também é usado para descrever a floresta amazônica em inglês?;também conhecida em inglês como Amazônia ou Amazonia
