pergunta;resposta  
Quando a Universidade de Chicago foi fundada?;1890  
Qual a afiliação acadêmica da Universidade de Chicago?;Associação de Universidades Americanas  
Por qual entidade a Universidade de Chicago é credenciada?;Comissão de Ensino Superior Superior  
Qual é o nome da maior imprensa universitária dos EUA?;University of Chicago Press  
Onde foi desenvolvida a primeira reação nuclear auto-sustentável do homem?;sob o campo de Stagg da universidade  
Quais são as imagens da Universidade de Chicago no Wikimedia Commons?;escudo e foto panorâmica  
Qual físico laureado com o Nobel está associado à Universidade de Chicago?;Yoichiro Nambu  
Qual economista está vinculado à Universidade de Chicago?;Ronald Coase  
Qual a função do departamento de física da Universidade de Chicago?;desenvolvimento da primeira reação nuclear auto-sustentável  
Quais são as afiliações acadêmicas da Universidade de Chicago?;Associação de Universidades Americanas
