Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
De onde se originou a morte negra?,as planícies da Ásia Central,2.0,4.10211,1.0,0.333,1.4,3.43523,1.0,0.000
Como a morte negra chegou ao Mediterrâneo e à Europa?,navios mercantes.,2.0,4.82961,1.0,0.200,1.0,1.85566,1.0,0.000
Quanto da população europeia matou a morte negra?,30% a 60% da população total da Europa.,1.88889,4.37319,1.0,0.400,2.90909,5.12344,0.8,0.600
Quando a população mundial finalmente se recuperou da morte negra?,século XVII.,2.09091,4.82961,1.0,0.667,1.0,1.85566,1.0,0.500
Por quanto tempo a praga retornou como surtos?,até o início do século XX.,1.77778,4.37319,1.0,0.250,2.0,3.79304,1.0,0.667
O que significa uma doença ser enzoótica?,eralmente presente),2.125,4.10211,1.0,0.750,1.0,1.85566,1.0,1.000
Quantas pessoas morreram devido à morte negra na China?,cerca de 25 milhões.,2.0,4.61384,1.0,0.200,2.0,3.01273,1.0,0.000
Qual o nome do bicho que transmitia a doença?,Xenopsylla chepsis (a praga),1.7,4.61384,1.0,0.750,1.0,3.01273,1.0,0.000
Qual a data de 1338 a 1339 do início da praga?,1338 a 1339 do início da praga,2.58333,5.1549,0.90909,0.400,1.71429,4.10211,1.0,0.250
Qual o nome do bicho que transmitia a doença?,Xenopsylla chepsis (a praga),1.7,4.61384,1.0,0.750,1.0,3.01273,1.0,0.000
