```csv
pergunta;resposta
Qual a origem do termo "huguenote"?;possivelmente de Bezanson Hugues, um líder político suíço
Em que período ocorreram as Guerras Religiosas na França?;de 1562 a 1598
Qual foi o impacto do Édito de Nantes?;concedeu autonomia religiosa aos huguenotes
Qual foi uma consequência das políticas de Luís XIV em relação aos protestantes?;forçada conversão ou fuga do país
Onde estavam concentrados os huguenotes na França?;nas partes sul e oeste do Reino
Quem liderou os huguenotes durante as Guerras Religiosas?;Jeanne d'Albret, Henrique IV e príncipes de Condé
Qual foi o impacto das "dragonnades" na comunidade protestante francesa?;causou uma grande redução da população protestante
Que tipo de fé religiosa os huguenotes seguiam?;Reformed, ou Calvinist
O que aconteceu com os direitos políticos e militares dos huguenotes na década de 1620?;foram abolidos
Qual foi uma consequência da saída de huguenotes da França?;um "brain drain" econômico
```
