Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
1. Qual é o principal objetivo da comutação de pacotes em redes de computadores?,optimizar o uso da largura de banda da rede,1.17857,5.63172,0.92857,0.375,1.55556,4.75438,0.88889,0.800
2. Como a comutação de pacotes difere da comutação de circuitos?,na comutação de circuitos é estabelecida uma ligação virtual dedicada durante a transmissão,1.29545,5.30531,0.81818,0.000,1.23077,5.36491,1.0,0.250
3. Qual é a principal vantagem da comutação de pacotes com ligação?,oferece a garantia de entrega dos pacotes de uma forma ordenada,1.16667,5.20226,1.0,0.429,1.54545,5.1549,0.90909,0.333
4. Que exemplo de protocolo utiliza comutação de pacotes com ligação?,ATM (comutação de células),1.25,5.1549,0.90909,0.286,1.0,3.01273,1.0,0.000
5. Qual é a principal característica da comutação de pacotes sem ligação?,os pacotes são encaminhados independentemente,1.16667,5.20226,1.0,0.429,1.0,3.43523,1.0,0.250
6. Que protocolo é um exemplo de comutação de pacotes sem ligação?,IP (Internet Protocol),1.16667,5.32781,0.91667,0.286,2.0,2.50045,1.0,0.000
7. Qual é a principal desvantagem da comutação de pacotes em relação à qualidade de serviço?,apresenta maior variação na qualidade de serviço,1.1875,5.89142,0.9375,0.375,1.57143,4.10211,1.0,0.800
8. Como a comutação de pacotes utiliza melhor os recursos da rede?,através de técnicas de multiplexagem temporal estatística,1.41667,5.20226,1.0,0.286,1.0,4.25402,0.85714,0.250
9. O que é necessário enviar sempre em pacotes com comutação de pacotes sem ligação?,o endereço de origem,1.28333,5.76639,0.93333,0.444,0.75,3.01273,1.0,1.000
10. O que acontece quando um link de transmissão de dados quebra em uma rede com comutação de pacotes sem ligação?,a rede pode reajustar-se,1.32143,6.50743,0.90476,0.300,1.0,3.01273,1.0,0.333
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Qual é o principal objetivo da comutação de pacotes em redes de computadores?,optimizar o uso da largura de banda da rede,1.85714,5.48607,0.92308,0.429,1.55556,4.75438,0.88889,0.800
Como a comutação de pacotes difere da comutação de circuitos?,na comutação de circuitos é estabelecida uma ligação virtual dedicada durante a transmissão,2.09091,5.12344,0.8,0.000,1.23077,5.36491,1.0,0.250
Qual é a principal vantagem da comutação de pacotes com ligação?,oferece a garantia de entrega dos pacotes de uma forma ordenada,1.83333,5.02467,1.0,0.500,1.54545,5.1549,0.90909,0.333
Que exemplo de protocolo utiliza comutação de pacotes com ligação?,ATM (comutação de células),2.0,4.96484,0.9,0.333,1.0,3.01273,1.0,0.000
Qual é a principal característica da comutação de pacotes sem ligação?,os pacotes são encaminhados independentemente,1.83333,5.02467,1.0,0.500,1.0,3.43523,1.0,0.250
Que protocolo é um exemplo de comutação de pacotes sem ligação?,IP (Internet Protocol),1.83333,5.1549,0.90909,0.333,2.0,2.50045,1.0,0.000
Qual é a principal desvantagem da comutação de pacotes em relação à qualidade de serviço?,apresenta maior variação na qualidade de serviço,1.875,5.76639,0.93333,0.429,1.57143,4.10211,1.0,0.800
Como a comutação de pacotes utiliza melhor os recursos da rede?,através de técnicas de multiplexagem temporal estatística,2.33333,5.02467,1.0,0.333,1.0,4.25402,0.85714,0.250
O que é necessário enviar sempre em pacotes com comutação de pacotes sem ligação?,o endereço de origem,2.06667,5.63172,0.92857,0.500,0.75,3.01273,1.0,1.000
O que acontece quando um link de transmissão de dados quebra em uma rede com comutação de pacotes sem ligação?,a rede pode reajustar-se,2.14286,6.42016,0.9,0.333,1.0,3.01273,1.0,0.333
