Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Quando foi criado o Painel Intergovernamental para Alterações Climáticas (IPCC)?,1988,2.30769,4.82961,1.0,0.375,0.0,1.0,1.0,0.000
Qual é a principal função do IPCC?,Sintetizar e divimir conhecimentos sobre mudanças climáticas afetantes no mundo.,1.75,4.10211,1.0,0.500,2.45455,4.82961,1.0,0.143
Onde está localizada a sede principal do IPCC?,Geneva,1.77778,4.37319,1.0,0.333,0.0,1.0,1.0,0.000
Qual é a atividade principal do IPCC?,Reunir e resumir conhecimento científico sobre mudanças climáticas,1.75,4.10211,1.0,0.500,1.125,4.37319,1.0,0.333
Quem foi um dos primeiros líderes do IPCC?,Hoesung Lee,2.22222,4.37319,1.0,0.000,0.5,1.85566,1.0,0.000
Qual tipo de organização é o IPCC?,Agência especializada das Nações Unidas,2.0,4.10211,1.0,0.500,1.4,3.43523,1.0,0.000
Quantos relatórios grandes o IPCC produziu até 2014?,Cinco,2.0,4.37319,1.0,0.000,0.0,1.0,1.0,0.000
Quem é conhecido por suas contribuições ao IPCC?,Rajendra K. Pachauri,2.22222,4.37319,1.0,0.250,1.0,2.50045,1.0,0.000
Qual foi um dos objetivos principais do IPCC em seus relatórios?,Apontar causas,2.16667,5.02467,1.0,0.000,0.5,1.85566,1.0,0.000
O IPCC pertence a qual organização maior?,Organização Meteorológica Mundial (OMM),1.75,4.10211,1.0,0.500,2.5,3.01273,1.0,0.000
Quem foi abreviadamente conhecido como o pai do IPCC?,Bert Bolin,2.4,4.61384,1.0,0.400,0.5,1.85566,1.0,0.000
Qual é a abreviação mais comum do IPCC?,IPCC,1.88889,4.37319,1.0,0.400,0.0,1.0,1.0,0.000
