Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Quais são as principais instituições da União Europeia?,A Comissão Europeia,1.77778,4.37319,1.0,0.200,0.66667,2.50045,1.0,0.000
Qual é a fonte primária do direito da União Europeia?,Os tratados que estabelecem a estrutura e os objetivos da União Europeia.,2.36364,4.82961,1.0,0.667,1.92308,5.32781,0.91667,0.167
Qual princípio fundamental do direito da União Europeia garante a aplicabilidade direta das normas da União nos Estados-Membros?,O princípio da supremação do direito da União.,3.26316,6.22924,0.88889,0.455,2.44444,4.51932,0.875,1.000
Qual é a função do Tribunal de Justiça da União Europeia?,Interpretar e garantir a aplicação uniforme do direito da União.,1.91667,5.02467,1.0,0.250,2.63636,4.82961,1.0,1.167
Qual tratado estabeleceu a União Europeia como uma entidade jurídica com personalidade internacional?,O Tratado de Maastricht.,2.07143,5.36491,1.0,0.250,1.4,3.01273,1.0,0.333
O que caracteriza uma diretiva da União Europeia?,Um ato legislativo que estabelece objetivos a serem alcançados pelos Estados-Membros,2.11111,4.37319,1.0,0.000,1.72727,5.02467,1.0,0.286
Qual é o órgão responsável por apresentar propostas legislativas na União Europeia?,A Comissão Europeia.,2.30769,5.20226,1.0,0.375,1.25,2.50045,1.0,0.000
Quais são os dois princípios fundamentais do direito da União Europeia?,A supremação do direito da União e a diretividade.,2.41667,5.02467,1.0,0.667,2.8,4.75438,0.88889,0.750
Qual é o objetivo principal do Acordo de Schengen no contexto da União Europeia?,A eliminação de controles nas fronteiras internas entre os países participantes.,2.26667,5.51466,1.0,0.444,2.25,5.02467,1.0,0.000
Qual é a função do Ombudsman da União Europeia?,Receber e investigar reclamações de cidadãos sobre a atuação de instituições da União.,2.6,4.61384,1.0,0.167,1.85714,5.48607,0.92308,0.143
