pergunta;resposta
1. O número atômico do oxigênio é qual?;8.
2. Qual é o segundo elemento mais abundante na natureza?;hélio.
3. Qual gás compõe aproximadamente 20,8% da atmosfera da Terra?;O gás diatômico (O2).
4. Quantos átomos de oxigênio se combinam para formar o dioxigênio?;Dois átomos.
5. Aproximadamente quanto oxigênio constitui a crosta terrestre?;Quase metade.
6. De que grupo na tabela periódica o oxigênio é membro?;Grupo 16 (calcogênios).
7. Qual tipo de compostos se forma mais comumente com o oxigênio?;Óxidos.
8. Comparado a outros elementos, quão abundante é o oxigênio na natureza?;Terceiro.
9. Quem descobriu o oxigênio por primeiro?;Joseph Priestley.
10. Qual foi a contribuição de Antoine Lavoisier para o estudo do oxigênio?;Confirmou sua existência após seus predecessores terem defendido a hipótese.
