Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Onde o Reno se esvazia?,Mar do Norte,1.66667,3.43523,1.0,0.000,1.0,2.50045,1.0,0.333
Qual é a maior cidade pela qual o Reno atravessa?,Colônia,2.18182,4.96484,0.9,0.400,0.0,1.0,1.0,0.000
Qual rio é maior que o Reno?,Danúbio),1.75,4.10211,1.0,0.500,0.5,1.0,1.0,0.000
Qual estado alemão leva o nome de um tributário do Reno?,Norte Reno-Vestfália,2.0,5.02467,1.0,0.500,0.5,1.85566,1.0,0.000
Em qual país o Reno deságua finalmente?,Holanda,2.0,4.10211,1.0,0.500,0.0,1.0,1.0,0.000
Que país o Reno esvazia?,Alemanha,2.5,3.43523,1.0,0.333,0.0,1.0,1.0,0.000
Quantidade em quilômetros é o Reno aproximadamente longo?,1.230 km,1.88889,4.37319,1.0,0.167,0.5,1.85566,1.0,0.000
Qual foi a origem do nome Rhine?,Celta,2.0,4.10211,1.0,0.500,0.0,1.0,1.0,0.000
Qual é o estado germânico que menciona frequentemente o Reno em seu território?,Hesse-Palatinado,1.92857,5.48607,0.92308,0.286,0.0,1.0,1.0,0.000
De onde começa o rio Reno?,Suíça nos Alpes suíços,1.71429,3.79304,1.0,0.333,1.5,3.01273,1.0,0.000
