Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual é a área de estudo da geologia?,Estudo da Terra e corpos planetários  ,1.77778,4.37319,1.0,0.500,1.33333,3.79304,1.0,0.000
Quais ferramentas a geologia fornece?,Determinação de idade relativa e absoluta de rochas  ,1.66667,3.43523,1.0,0.000,1.5,4.51932,0.875,0.200
Qual é a evidência principal para a tectônica de placas?,Estudos geológicos e dados  ,1.81818,4.96484,0.9,0.200,1.0,3.01273,1.0,0.000
O que geólogos estudam principalmente?,Estrutura e evolução da Terra  ,1.5,3.43523,1.0,0.333,1.0,3.43523,1.0,0.250
Qual é uma aplicação importante da geologia?,Exploração de minerais e hidrocarbonetos  ,1.75,4.10211,1.0,0.500,1.2,3.43523,1.0,0.250
O que a geologia ajuda a compreender?,Riscos naturais e clima passado  ,1.75,4.25402,0.85714,0.667,1.0,3.43523,1.0,0.750
Qual é o foco da ciência do sistema terrestre integrado?,Processos terrestres e planetários  ,3.09091,4.82961,1.0,0.667,1.0,3.01273,1.0,0.000
Quais métodos utilizam geólogos?,Trabalho de campo e modelagem numérica  ,1.6,3.01273,1.0,0.000,1.16667,3.79304,1.0,0.250
Qual o papel da geologia na engenharia?,Engenharia geotécnica e geológica  ,2.375,4.10211,1.0,0.333,1.0,3.01273,1.0,0.000
Qual a relevância da geologia em problemas ambientais?,Remediação de problemas ambientais,2.22222,4.37319,1.0,0.000,0.75,3.01273,1.0,0.000
