Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
1. Qual é a medida mais utilizada para avaliar a desigualdade econômica?,Coeficiente de Gini,1.33333,5.32781,0.91667,0.375,0.66667,2.50045,1.0,0.000
2. O que o Índice de Desenvolvimento Humano Ajustado pela Desigualdade leva em conta?,a desigualdade,1.60714,5.63172,0.92857,0.750,0.5,1.85566,1.0,0.000
3. Como a globalização afeta a desigualdade entre países e dentro dos países?,reduziu a desigualdade entre nações,1.40385,5.62279,0.84615,0.000,0.8,3.43523,1.0,0.000
4. Quais são os dois principais aspectos da desigualdade econômica?,distribuição de renda e distribuição de riqueza,1.25,4.82961,1.0,0.167,1.14286,4.44634,0.71429,0.750
6. Qual é a causa principal dos movimentos Occupy?,desigualdade econômica,1.19444,4.61384,1.0,0.333,0.5,1.85566,1.0,0.000
7. O que a curva de Kuznets está associada?,desigualdade econômica,1.25,4.61384,1.0,0.200,0.5,1.85566,1.0,0.000
8. Como a desigualdade econômica afeta o crescimento econômico?,dificulta a duração do crescimento,1.36111,4.61384,1.0,0.333,1.0,3.43523,1.0,0.667
pergunta,resposta  ,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Qual é a medida mais utilizada para avaliar a desigualdade econômica?,Coeficiente de Gini  ,2.16667,5.1549,0.90909,0.429,0.66667,2.50045,1.0,0.000
O que o Índice de Desenvolvimento Humano Ajustado pela Desigualdade leva em conta?,a desigualdade  ,2.71429,5.48607,0.92308,0.818,0.5,1.85566,1.0,0.000
Como a globalização afeta a desigualdade entre países e dentro dos países?,reduziu a desigualdade entre nações,2.30769,5.47097,0.83333,0.000,0.8,3.43523,1.0,0.000
Quais são os dois principais aspectos da desigualdade econômica?,distribuição de renda e distribuição de riqueza  ,2.0,4.61384,1.0,0.200,1.14286,4.44634,0.71429,0.750
Qual é a causa principal dos movimentos Occupy?,desigualdade econômica  ,1.88889,4.37319,1.0,0.400,0.5,1.85566,1.0,0.000
O que a curva de Kuznets está associada?,desigualdade econômica  ,2.0,4.37319,1.0,0.250,0.5,1.85566,1.0,0.000
Como a desigualdade econômica afeta o crescimento econômico?,dificulta a duração do crescimento,2.22222,4.37319,1.0,0.400,1.0,3.43523,1.0,0.667
