pergunta;resposta
Vou gerar 10 pares pergunta;resposta com base no contexto fornecido, seguindo as instruções.
Agora vou gerar 10 pares pergunta;resposta no formato solicitado:
O que define um número como primo?;número natural maior que 1 que não é produto de dois números menores.
O que é um número que não é primo chamado?;número composto.
Qual teorema estabelece a importância dos números primos na teoria dos números?;teorema fundamental da aritmética.
O que garante que cada número natural maior que 1 pode ser fatorado de forma única em números primos?;teorema fundamental da aritmética.
Qual é o nome do algoritmo de verificação de primalidade que é rápido mas pode cometer erros?;teste de primalidade de Miller-Rabin.
Qual é o nome do algoritmo de verificação de primalidade determinístico, mas lento?;teste de primalidade de AKS.
Como são chamados os primos da forma 2^n-1?;números primos de Mersenne.
Qual é o maior número primo conhecido até dezembro de 2018?;um número de Mersenne com 24,862,048 dígitos.
Que teorema descreve a distribuição estatística dos números primos?;teorema dos números primos.
Que área da matemática usa números primos para segurança na informação?;criptografia de chave pública.
O que define um número como primo?;número natural maior que 1 que não é produto de dois números menores.
O que é um número que não é primo chamado?;número composto.
Qual teorema estabelece a importância dos números primos na teoria dos números?;teorema fundamental da aritmética.
O que garante que cada número natural maior que 1 pode ser fatorado de forma única em números primos?;teorema fundamental da aritmética.
Qual é o nome do algoritmo de verificação de primalidade que é rápido mas pode cometer erros?;teste de primalidade de Miller-Rabin.
Qual é o nome do algoritmo de verificação de primalidade determinístico, mas lento?;teste de primalidade de AKS.
Como são chamados os primos da forma 2^n-1?;números primos de Mersenne.
Qual é o maior número primo conhecido até dezembro de 2018?;um número de Mersenne com 24,862,048 dígitos.
Que teorema descreve a distribuição estatística dos números primos?;teorema dos números primos.
Que área da matemática usa números primos para segurança na informação?;criptografia de chave pública.
