pergunta;resposta  
Qual é a definição de um número primo?;Um número primo é um número natural maior que 1 que possui exatamente dois divisores positivos: 1 e ele mesmo.  
Como o algoritmo de Eratóstenes ajuda a encontrar números primos?;Ele é uma técnica antiga para identificar números primos até um limite dado, eliminando os múltiplos de números menores.  
O que caracteriza os números primos em termos de divisibilidade?;São números que só são divisíveis por 1 e por eles mesmos, sem outros divisores.  
Qual é o papel dos números primos na criptografia moderna?;Eles são fundamentais em algoritmos como RSA, onde a segurança depende da dificuldade de fatorar grandes números compósitos em seus fatores primos.  
O que é um número primo de Mersenne e como ele é definido?;É um número primo da forma $2^p - 1$, onde $p$ também é um número primo.  
Qual é a relação entre os números primos e a teoria dos números?;Eles são a base da teoria dos números, sendo os "construtores" dos inteiros, conforme o Teorema Fundamental da Aritmética.  
Como o teste de primalidade de AKS é diferente do teste de Miller-Rabin?;O AKS é determinístico e pode verificar a primalidade em tempo polinomial, enquanto o Miller-Rabin é probabilístico e mais eficiente para números grandes.  
Quais são algumas propriedades únicas dos números primos?;Eles são infinitos, não possuem divisores além de 1 e si mesmos, e são fundamentais na decomposição de números inteiros.  
Por que a primalidade é um conceito central na matemática?;Porque a decomposição de números em fatores primos é única e essencial para muitas teorias e aplicações matemáticas.  
O que é um par de primos gêmeos e por que é importante?;São pares de primos que diferem por 2, como (3, 5) ou (11, 13). Sua distribuição ajuda a entender a densidade dos números primos.
