pergunta;resposta
1. Qual é o percentual do Produto Interno Bruto (PIB) dedicado à construção?;40.2%  
2. Quais são os três principais setores que compõem a construção?;Residencial, comercial e industrial  
3. O que é essencial para garantir a qualidade em um projeto de construção?;Padrões técnicos e regulamentares  
4. Qual é a importância do planejamento na construção?;Garante eficiência e organização dos processos  
5. Quais são os tipos mais comuns de projetos de construção?;Edifícios residenciais, prédios comerciais e infraestrutura pública  
6. Como a construção impacta o desenvolvimento econômico de uma região?;Criando empregos e impulsionando a economia local  
7. Qual é a duração média de um grande projeto de construção?;Varia entre 12 meses a vários anos, dependendo da complexidade  
8. Quais são os principais materiais utilizados na construção moderna?;Concreto, aço, cerâmica e madeira  
9. Como a tecnologia影响了现代建筑？;通过BIM、3D打印和自动化提高效率和精确度  
10. Qual é o objetivo principal da sustentabilidade na construção?;Minimizar o impacto ambiental e promover práticas eco-friendly
