Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
O que é desobediência civil?,É uma forma de protesto não violento onde indivíduos quebram leis conscientemente para chamar atenção para uma causa justa.,1.5,3.43523,1.0,0.333,2.55,6.32762,0.89474,0.615
Quem é um dos principais teóricos da desobediência civil?,Henry David Thoreau.,2.2,4.61384,1.0,0.200,1.25,2.50045,1.0,0.000
Qual é um exemplo histórico de desobediência civil?,O movimento dos direitos civis nos Estados Unidos.,1.77778,4.37319,1.0,0.600,2.22222,4.37319,1.0,0.200
Quais são os princípios da desobediência civil?,Não violência,1.75,4.10211,1.0,0.500,0.5,1.85566,1.0,0.500
Como a desobediência civil difere de outros tipos de protesto?,Por ser intencional e consciente,1.81818,4.96484,0.9,0.200,0.8,3.43523,1.0,0.667
Quais podem ser as consequências legais para quem pratica desobediência civil?,Multas,1.83333,5.02467,1.0,0.429,0.0,1.0,1.0,0.000
Qual é o papel da não violência na desobediência civil?,Garantir que o protesto seja pacífico e evite a escalada de conflitos.,2.18182,4.82961,1.0,0.833,1.84615,5.20226,1.0,0.000
Por que as pessoas recorrem à desobediência civil?,Para chamar atenção para questões sociais ou políticas que não são resolvidas por meio de canais legais.,1.88889,4.37319,1.0,0.250,2.11111,6.00792,0.94118,0.600
Como a desobediência civil pode impactar a sociedade?,Pode promover mudanças legais e sociais,2.0,4.51932,0.875,0.400,0.83333,3.79304,1.0,0.200
Quais são os argumentos éticos em favor da desobediência civil?,A defesa da justiça,1.81818,4.82961,1.0,0.400,1.0,3.01273,1.0,0.500
