pergunta;resposta
Qual é o outro nome com que a Peste Negra também é conhecida?;Grande Peste
Quantas pessoas morreram aproximadamente durante a Peste Negra na Eurásia?;75 a 200 milhões
Qual é a bactéria causadora da Peste Negra?;Yersinia pestis
Entre quais anos a Peste Negra atingiu seu pico na Europa?;1347 e 1351
Quantas formas de peste são mencionadas como resultado da infecção por Yersinia pestis?;Três (septicémica, pneumónica e bubónica)
Qual animal era o principal vetor de transmissão da Peste Negra?;Ratos
Qual a forma como a Peste Negra se espalhava de um local para outro?;Através de pulgas que viviam nos ratos
Qual a possível região de origem da Peste Negra?;Ásia Central ou Oriental
Qual rota foi responsável pela disseminação da Peste Negra da Ásia para a Europa?;Rota da Seda
Qual a faixa percentual estimada de mortes causadas pela Peste Negra na população europeia?;30% a 60%
