pergunta;resposta
questão;resposta
Qual foi o principal motivo da Guerra Franco-Índia?;Os franceses apoiaram os índios contra os britânicos.
Quem lutou contra os britânicos na guerra?;Os colonistas americanos e os aliados franceses.
Qual foi a consequência mais importante da guerra para os Estados Unidos?;A independência dos EUA.
Qual foi o tratado que encerrou a Guerra Franco-Índia?;O Tratado de Paris.
Em qual local se realizou a batalha decisiva para a vitória americana?;Saratoga, no estado de Nova York.
Quem comandava o exército britânico durante a guerra?;Cornwallis.
Quem foi um importante aliado dos americanos na guerra?;Lafayette.
Qual foi a principal batalha realizada nos Estados Unidos durante a guerra?;A Batalha de Saratoga.
Onde estava situada a capital do Reino Unido durante a guerra?;Londres.
