<pergunta;resposta>
Quem descobriu o elemento Oxigênio?  Oxigênio foi descoberto por Joseph Priestley em 1774.
Qual é o número atômico do Oxigênio?  O número atômico do Oxigênio é 8.
O que é a principal aplicação do Oxigênio no setor militar?  A principal aplicação do Oxigênio no setor militar é o suporte de vida para pilotos e tripulações em altas altitudes.
Qual é o estado físico normal do Oxigênio na temperatura ambiente?  O estado físico normal do Oxigênio na temperatura ambiente é gasoso.
O que acontece quando a concentração de Oxigênio no ar humano ultrapassa os níveis normais?  Quando a concentração de Oxigênio no ar humano ultrapassa os níveis normais, pode causar efeitos tóxicos, como toxicidade pulmonar aguda.
Qual é a simbologia química do Oxigênio?  A simbologia química do Oxigênio é "O".
Quais são os principais isótopos naturais de Oxigênio?  Os principais isótopos naturais de Oxigênio são o O-16 e o O-18.
Como foi feita a descoberta do Oxigênio por Joseph Priestley?  Joseph Priestley descubriu o Oxigênio enquanto tentava isolar um novo gás a partir da decomposição da piróxido de ferro.
Qual é a classificação periódica do Oxigênio?  O Oxigênio pertence à família dos chalcogênios e encontra-se na segunda coluna do período 2 da tabela periódica.
Quais são algumas das principais propriedades físicas do Oxigênio?  Algumas das principais propriedades físicas do Oxigênio são o ponto de ebulição (-183 °C), o ponto de fusão (-219 °C) e sua densidade em estado líquido (1,14 g/mL).
Qual é a principal aplicação industrial do Oxigênio?  A principal aplicação industrial do Oxigênio é a produção de aço, através do processo de Blast Furnace.
</pergunta;resposta>
