pergunta;resposta
De quais países os normandos se originaram?;Dinamarca, Noruega e Suécia.
Em que século a identidade normanda foi formada?;século X.
Qual era a língua falada pelos normandos inicialmente?;Old Norman.
Qual foi a religião dos normandos no início?;paganismo Norse.
Quem foi o primeiro duque normando elegeu-se formalmente?;Rolo.
Qual batalha marcou a conquista normanda da Inglaterra?;Batalha de Hastings.
Em quais territórios atuais a Normandia está localizada?;França e as Ilhas do Canal.
Quem fundou o Reino da Sicília com influência normanda?;Ruggiero II.
Qual estilo arquitetônico é associado aos normandos?;românico.
De que forma os normandos deixaram um legado cultural?;através de línguas e instituições em territórios conquistados.
