Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
O que é o Parlamento da Escócia?,É um parlamento unicameral,2.125,4.25402,0.85714,0.000,0.75,3.01273,1.0,0.000
Quando foi fundado o Parlamento da Escócia?,Foi estabelecido em 1º de outubro de 1999,1.75,4.10211,1.0,0.000,0.875,4.51932,0.875,0.200
Qual é a sede do Parlamento da Escócia?,Está localizado em Edimburgo,2.33333,4.37319,1.0,0.200,1.0,3.01273,1.0,0.000
Quais são as principais funções do Parlamento da Escócia?,Legislar sobre questões que lhe foram delegadas pelo governo britânico,2.3,4.61384,1.0,0.167,1.4,4.82961,1.0,0.167
Qual é o papel do Presidente do Parlamento da Escócia?,Assegura o funcionamento regular das sessões legislativas,2.36364,4.96484,0.9,0.286,1.71429,4.10211,1.0,0.600
Quais são os partidos políticos representados no Parlamento da Escócia?,Incluem Partido Nacional Escocês (SNP),2.36364,4.82961,1.0,0.143,3.0,3.43523,1.0,0.000
O que é a Comissão do Tribunal de Justiça da União Europeia?,É um órgão judicial responsável pela interpretação das leis da UE e garantir seu cumprimento uniforme em todos os Estados membros,3.38462,5.20226,1.0,0.222,2.80952,6.31084,1.0,0.583
Qual é o papel do Conselho Escocês de Justiça?,Aconselha sobre questões legais e éticas relacionadas à profissão jurídica na Escócia,2.5,4.61384,1.0,0.333,1.75,5.20226,1.0,0.125
Qual é o objetivo da Agência de Cooperação Intergovernamental da Escócia?,Promover cooperação entre governos locais na Escócia,2.08333,5.1549,0.90909,0.375,1.0,4.10211,1.0,0.000
Quem é o Chefe do Estado-Maior da Defesa?,É responsável pelo comando e controle das Forças Armadas britânicas,2.33333,4.37319,1.0,0.000,1.5,4.82961,1.0,0.429
