pergunta;resposta
O que é a teoria de packet switching?;Método de transmissão de dados em pacotes pela rede digital
Qual foi o objetivo do trabalho de Paul Baran?; Fornecer uma rotulação tolerante a falhas e eficiente para mensagens de telecomunicações
Em que ano Paul Baran desenvolveu sua teoria?; No início dos anos 1960
Qual foi o contraste entre as ideias de Baran e os princípios estabelecidos da época?; A pre-alocação de largura de banda de rede, como expoenciado pelo desenvolvimento do sistema Bell
Quando Donald Davies introduziu o conceito moderno de packet switching?; Em 1965
Qual a estrutura dos pacotes em transmissão de dados?; Conjunto de header e payload
O que é utilizado no header?; Informações para direcionamento do pacote pela rede
Quem é creditado com a inspiração para muitas redes de packet switching após 1965?; Donald Davies, da National Physical Laboratory
Qual desdobramento incluiu o conceito de packet switching em sua design?; ARPANET (EUA)
Quem financiou o trabalho inicial de Paul Baran?; O Departamento de Defesa dos Estados Unidos
