Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Quando foi estabelecido o Parlamento Escocês?,1999  ,1.57143,3.79304,1.0,0.000,0.0,1.0,1.0,0.000
Qual ato concedeu poderes legislativos ao Parlamento Escocês?,Lei da Escócia de 1998  ,3.33333,4.37319,1.0,0.167,1.0,3.43523,1.0,0.000
O Parlamento Escocês pode legislar em quais áreas?,em que ele pode fazer leis  ,1.88889,4.37319,1.0,0.200,0.83333,3.79304,1.0,0.333
Quem detém os poderes reservados para a Escócia?,Parlamento do Reino Unido  ,2.0,4.37319,1.0,0.000,1.0,3.01273,1.0,0.000
Quantos membros compõem o Parlamento Escocês?,129  ,1.71429,3.79304,1.0,0.000,0.0,1.0,1.0,0.000
Onde o Parlamento Escocês está localizado?,Edinburgh,1.85714,3.79304,1.0,0.000,0.0,1.0,1.0,0.000
Qual é o nome do prédio onde o Parlamento Escocês se reúne?,Scottish Parliament Building  ,1.92308,5.32781,0.91667,0.333,1.0,2.50045,1.0,0.000
Quando ocorreu a última eleição para o Parlamento Escocês?,2021-05-06  ,1.7,4.61384,1.0,0.200,0.0,1.0,1.0,0.000
Quem é o atual Presidente do Parlamento Escocês?,Alison Johnstone  ,2.0,4.37319,1.0,0.333,0.5,1.85566,1.0,0.000
Quais são alguns dos comitês do Parlamento Escocês?,Comitê sobre o Tratamento do Governo Escocês de Queixas de Assédio,2.33333,4.37319,1.0,0.250,1.45455,5.1549,0.90909,0.222
