Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
1. O que é a construção?,Arte e ciência de formar objetos,1.0,3.79304,1.0,0.333,0.83333,3.79304,1.0,0.500
2. Qual o percentual da GDP global atribuído à construção?,13%.,1.2,4.82961,1.0,0.167,1.0,1.85566,1.0,0.000
3. Quantas mortes no setor de construção houve nos EUA em 2019?,20% das mortes industriais.,1.625,5.20226,1.0,0.286,1.66667,3.43523,1.0,0.000
4. Quais são as etapas iniciais do processo de construção?,Planejamento,1.15,4.82961,1.0,0.500,0.0,1.0,1.0,0.000
5. Qual é o impacto ambiental na construção?,Deve ser considerado no planejamento.,1.3125,4.37319,1.0,0.200,1.66667,3.43523,1.0,0.750
Another question: Quais são exemplos de empresas no setor de construção?,Peter Lind & Company,2.30769,5.1549,0.90909,0.429,1.5,3.01273,1.0,0.000
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
O que é a construção?,Arte e ciência de formar objetos,1.5,3.43523,1.0,0.500,0.83333,3.79304,1.0,0.500
Qual o percentual da GDP global atribuído à construção?,13%.,1.9,4.61384,1.0,0.200,1.0,1.85566,1.0,0.000
Quantas mortes no setor de construção houve nos EUA em 2019?,20% das mortes industriais.,2.75,5.02467,1.0,0.333,1.66667,3.43523,1.0,0.000
Quais são as etapas iniciais do processo de construção?,Planejamento,1.8,4.61384,1.0,0.600,0.0,1.0,1.0,0.000
Quais são exemplos de empresas no setor de construção?,Peter Lind & Company,1.8,4.75438,0.88889,0.600,1.5,3.01273,1.0,0.000
Qual é o impacto ambiental na construção?,Deve ser considerado no planejamento.,2.125,4.10211,1.0,0.250,1.66667,3.43523,1.0,0.750
Quais são as fases do ciclo de vida de um projeto de construção?,Planejamento,1.85714,5.62279,0.84615,0.833,0.0,1.0,1.0,0.000
Quais são os setores econômicos afetados pela construção?,Indústria,2.33333,4.37319,1.0,0.400,0.0,1.0,1.0,0.000
O que caracteriza a indústria de construção?,Alta taxa de acidentes e riscos laborais.,1.625,4.10211,1.0,0.667,2.0,4.10211,1.0,0.200
Quais são os principais produtos da construção?,Edifícios,1.625,4.10211,1.0,0.500,0.0,1.0,1.0,0.000
