Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Que é considerado um problema computacional?,uma tarefa resolvida por um computador,1.57143,3.79304,1.0,0.250,1.0,3.79304,1.0,0.667
Qual recurso principal é utilizado para medir a complexidade?,tempo e armazenamento,2.3,4.61384,1.0,0.500,0.66667,2.50045,1.0,0.500
Que campo da ciência da computação foca em analisar os recursos necessários de um algoritmo?,análise de algoritmos,2.8125,5.76639,0.93333,0.625,0.66667,2.50045,1.0,0.500
Qual unidade é medida para determinar a complexidade do circuito?,número de portas,2.27273,4.82961,1.0,0.500,0.66667,2.50045,1.0,0.500
Por que a teoria da complexidade computacional se concentra em recursos limitados?,para determinar o que os computadores podem ou não fazer,2.46154,5.20226,1.0,0.167,1.1,4.82961,1.0,0.800
Que termo define um problema que pode ser resolvido mecanicamente?,problemas computacionais,1.81818,4.96484,0.9,0.571,0.5,1.85566,1.0,0.000
Qual é a diferença entre a análise de algoritmos e a teoria da complexidade computacional?,a primeira foca em recursos específicos,2.1875,5.89204,0.86667,0.429,0.83333,3.79304,1.0,0.250
O que define amplamente a dificuldade inerente de um problema computacional?,se sua solução exige recursos significativos,2.25,5.02467,1.0,0.333,1.33333,3.79304,1.0,0.250
Que modelo é usado para quantificar os recursos necessários para resolver um problema?,modelos matemáticos de computação,2.35714,5.48607,0.92308,0.500,0.75,3.01273,1.0,0.333
Que termo descreve uma tarefa que pode ser executada por um computador?,problemas computacionais,1.84615,5.32781,0.91667,0.714,0.5,1.85566,1.0,0.000
Qual campo da ciência da computação utiliza a teoria da complexidade para classificar problemas?,análise de algoritmos,3.13333,5.76263,0.85714,0.625,0.66667,2.50045,1.0,0.500
