pergunta;resposta
A definição primária de império, de acordo com o texto, é qual?;um território geográfico extenso
Qual característica define a estrutura de poder de um império, conforme o texto?;força militar e controle político
O que geralmente causa a criação de um império, de acordo com o texto?;conquista
O que é frequentemente associado ao centro de um império, de acordo com o texto?;metrópole
Qual é o principal tipo de controle que um império exerce sobre suas periferias?;controle político
Qual é um exemplo de como o imperialismo pode ser formalmente aplicado?;acordos comerciais forçados
O que a palavra "imperialismo" deriva?;latim
Qual tipo de controle é característico do imperialismo formal?;controle político
Qual é um exemplo de motivação por trás do imperialismo, conforme o texto?;crimes de guerra
O que o texto sugere que um império frequentemente faz para expandir seu poder?;conquista
Qual é a principal característica do imperialismo que o distingue de outras formas de dominação?;controle político e influência
