pergunta;resposta  
Qual órgão criou o IPCC?;WMO e UNEP  
Quando foi criado o IPCC?;1988  
Onde está localizado o secretariado do IPCC?;Genebra, Suíça  
Quantos estados membros tem o IPCC?;195  
Qual é a duração do ciclo de avaliação?;6 a 7 anos  
O IPCC realiza pesquisas originais?;Não  
Com quem o IPCC compartilhou o Nobel em 2007?;Al Gore  
Quando começou o sexto ciclo de avaliação?;2015  
Qual foi o primeiro relatório especial do AR6?;Relatório sobre aquecimento de 1,5°C  
Quando será publicado o relatório de síntese do AR6?;Março de 2023
