pergunta;resposta
Em que ano Harvard University foi fundada?;Em 1636, pela Massachusetts General Court.
Qual é o local da sede principal de Harvard University?;Cambridge, Massachusetts.
Quantos presidentes dos Estados Unidos são alumni de Harvard University?;Oito.
Qual é o nome do centro da sede principal de Harvard University?;Harvard Yard.
Quantos laureados com o Prêmio Nobel estão associados a Harvard University?;Aproximadamente 150.
Qual é o nome da equipe esportiva que representa Harvard University nas competições da NCAA?;Harvard Crimson.
Quem foi a primeira presidente feminina de Harvard University, e em que ano foi eleita?;Drew Gilpin Faust, eleita em 2007.
Qual é o nome da maior biblioteca dos Estados Unidos, localizada em Harvard University?;Harvard Library.
"Qual é o nome da universidade equivalente a ""128987800"" no conteúdo fornecido?";Harvard University.
Quantos membros da Ivy League Harvard University é parte?;Harvard University é uma das oito instituições da Ivy League.
