pergunta;resposta
Vou gerar 10 pares pergunta;resposta no formato CSV com base no contexto fornecido.
1. Qual foi a data de início das transmissões da British Satellite Broadcasting?;25 de março de 1990
2. Qual foi a data de fundação da British Satellite Broadcasting?;11 de dezembro de 1986
3. Qual foi a data da fusão da British Satellite Broadcasting com a Sky Television?;2 de novembro de 1990
4. Qual empresa sucedeu a British Satellite Broadcasting?;Sky UK
5. Em que cidade a British Satellite Broadcasting teve sua sede?;Londres
6. Para que país a British Satellite Broadcasting forneceu serviços?;Reino Unido
7. Qual foi a nova empresa formada após a fusão da British Satellite Broadcasting com a Sky Television?;British Sky Broadcasting
8. Em que ano a British Satellite Broadcasting foi fundada?;1986
9. Quantas categorias distintas a British Satellite Broadcasting está associada?;Mais de 20 (isso é uma inferência baseada nos fatos listados)
10. Qual canal de televisão é propriedade da British Satellite Broadcasting?;Galaxy (British TV channel)
pergunta;resposta
Qual foi a data de início das transmissões da British Satellite Broadcasting?;25 de março de 1990
Qual foi a data de fundação da British Satellite Broadcasting?;11 de dezembro de 1986
Qual foi a data da fusão da British Satellite Broadcasting com a Sky Television?;2 de novembro de 1990
Qual empresa sucedeu a British Satellite Broadcasting?;Sky UK
Em que cidade a British Satellite Broadcasting teve sua sede?;Londres
Para que país a British Satellite Broadcasting forneceu serviços?;Reino Unido
Qual foi a nova empresa formada após a fusão da British Satellite Broadcasting com a Sky Television?;British Sky Broadcasting
Em que ano a British Satellite Broadcasting foi fundada?;1986
Quantas categorias distintas a British Satellite Broadcasting está associada?;Mais de 20
Qual canal de televisão é propriedade da British Satellite Broadcasting?;Galaxy (British TV channel)
