Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Quem é o atual presidente da Universidade de Chicago?,Robert J. Zimmer,2.1,4.61384,1.0,0.500,1.0,2.50045,1.0,0.000
A Universidade de Chicago faz parte de qual associação acadêmica?,Association of American Universities (AAU),2.18182,4.96484,0.9,0.429,3.0,3.43523,1.0,0.000
Qual foi a data de fundação da Universidade de Chicago?,1890-10-01,1.81818,4.96484,0.9,0.333,0.0,1.0,1.0,0.000
Quantos estudantes se formaram na Universidade de Chicago em 2017?,1.654,2.0,4.82961,1.0,0.167,0.0,1.0,1.0,0.000
Quais são as divisões acadêmicas de pesquisa da universidade?,Humanidades,1.9,4.61384,1.0,0.600,0.0,1.0,1.0,0.000
Qual é a taxa de retenção dos estudantes do primeiro ano na Universidade de Chicago?,93%,2.875,5.76639,0.93333,0.444,0.5,1.85566,1.0,0.000
Quantos estudantes se matricularam na Universidade de Chicago no outono de 2017?,6.845,2.23077,5.32781,0.91667,0.286,0.0,1.0,1.0,0.000
Quem ajudou a construir o primeiro reator nuclear em Chicago?,departamento de física da universidade,1.81818,4.82961,1.0,0.500,0.8,3.43523,1.0,0.667
O que é conhecido como maior imprensa universitária dos EUA?,University of Chicago Press,2.54545,4.82961,1.0,0.500,1.5,3.01273,1.0,0.000
Quando está previsto para ser concluído o Centro Presidencial de Barack Obama?,2021,2.23077,5.20226,1.0,0.333,0.0,1.0,1.0,0.000
