pergunta;resposta
Okay, so I need to generate 10 question-answer pairs in Portuguese based on the given context about the Normans. The output should be a CSV with each line formatted as "pergunta;resposta". Let me start by carefully reading through the provided abstract and triples to understand key points.
7. Rollo's role was foundational; he signed the treaty with Charles the Simple.
"De onde os normandos tiveram origem?";"Os normandos surgiram a partir de assentamentos vikinganos e populações indígenas na região que viria a ser a Normanha."
"Em qual século surgiu a identidade normanda?";"No século X."
"Qual língua falavam os normandos?";"Falavam normano antigo e latim."
"Quem foi o líder que estabeleceu a Normanha com um tratado em 911?";"Rolo, o fundador da Normanha após o Tratado de Sainte-Suzanne."
"Qual monarca inglês era normando?";"Guilherme, o Conquistador."
"Quem liderou os normandos na Batalha de Hastings em 1066?";"Guilherme, o Conquistador."
"Em que século a Normanha se tornou um ducado independente?";"No século XI."
"Qual foi a religião dos normandos após sua conversão?";"O cristianismo."
"De onde provém o termo 'normando'?";"Do norruega antigo 'Norðrmanaz'."
"Em qual século a forma latina 'Normanni' surgiu?";"No século X."
