pergunta;resposta
Qual é o método mais utilizado para medir a desigualdade econômica?;Coeficiente de Gini
Qual movimento social está associado à luta contra a desigualdade econômica?;Occupy Wall Street
Qual índice leva em conta a desigualdade em sua composição?;Índice de Desenvolvimento Humano Ajustado pela Desigualdade
Como a globalização afeta a desigualdade global e dentro dos países?;Reduz a desigualdade entre nações, mas aumenta a desigualdade dentro dos países
Qual fator de pesquisa é associado à duração do crescimento econômico?;A maior desigualdade econômica
Qual livro aborda questões de desigualdade econômica?;Capital in the Twenty-First Century
O que o Coeficiente de Gini mede?;A distribuição de renda ou riqueza
Qual economista é conhecido por trabalhar com desigualdade econômica?;Branko Milanović
Qual imagem é usada para representar a desigualdade econômica?;Tenting in Los Angeles Skid Row.jpg
Qual é um dos principais temas discutidos na desigualdade econômica?;Distribuição de riqueza
