pergunta;resposta
"Qual foi o principal objetivo da Guerra Franco-Indígena?" ;"A expansão territorial e a dominação indígena pela França."
"Quando começou a Guerra Franco-Indígena?" ;"Em 1754, inicialmente conhecida como Disputa dos Rios."
"Qual foi o principal fato que levou à guerra?" ;"A disputa pelo território entre as potências europeias na América do Norte."
"Quais foram os principais envolvidos na Guerra Franco-Indígena?" ;"França, Grã-Bretanha e seus respectivos aliados indígenas."
"Qual foi o resultado da Batalha de Washington (1759)?" ;"A derrota francesa, que marcou um ponto crucial na guerra."
"Qual a importância estratégica dos Fortalezas Algumas e Duquesne?" ;"Controlavam as rotas comerciais e de comunicação no interior da América do Norte."
"Quando a França caiu em 1763, que territórios foram transferidos para a Grã-Bretanha?" ;"A área entre o Canadá e os Estados Unidos (atual Midwest)."
"Qual foi o impacto da Guerra Franco-Indígena nos povos indígenas?" ;"Grandes perdas territoriais e populacionais, além de conflitos internos entre aliados."
"Quando terminou formalmente a Guerra Franco-Indígena?" ;"Foi oficialmente encerrada com o Tratado de Paris em 1763."
"Qual foi a consequência mais imediata da derrota francesa na guerra?" ;"A Proclamação do Rei George III, expulsando os colonos britânicos dos territórios indígenas capturados."
