pergunta;resposta
Qual é a definição de número primo conforme o contexto?;Um número primo possui exatamente dois divisores naturais distintos: 1 e ele mesmo.
Quantos números primos existem abaixo de 1000, segundo o contexto?;Existem 168 números primos abaixo de 1000.
O que são primos gêmeos, segundo o contexto?;Primos gêmeos são pares de números primos que diferem por 2, como (3, 5) e (5, 7).
Qual é o único número primo par mencionado no contexto?;O número 2 é o único primo par.
Qual é a importância do Teorema Fundamental da Aritmética, conforme o contexto?;Ele afirma que qualquer número natural pode ser expresso de forma única como produto de números primos.
O que é um primorial, segundo a definição no contexto?;Um primorial é o produto de todos os números primos até um número dado $ p $, representado como $ p# $.
O contexto afirma que há infinitos números primos?;Sim, Euclides provou que existem infinitos números primos por volta de 300 a.C.
Qual é o maior primo conhecido da forma $ p# + 1 $, segundo o contexto?;O número $ 392113# + 1 $, com 169.966 dígitos, descoberto em 2001.
Qual é o maior primo da forma $ p# - 1 $ mencionado no contexto?;O número $ 15877# - 1 $, com 6.845 dígitos, incluído na lista de Caldwell e Gallot de 2002.
"Qual número primo é destacado no contexto com a fatoração ""2,147,483,647""?";O número 2.147.483.647 é um número primo.
