pergunta;resposta
Qual foi o principal motivo para a crise petrolífera de 1973?;Um embargo petrolífero proclamado pelos membros da Organização dos Países Árabes Exportadores de Petróleo (OPAEP) contra as nações que apoiavam Israel durante a Guerra do Yom Kippur.
Quais países foram os primeiros alvo do embargo petrolífero em 1973?;Canadá, Japão, Holanda, Reino Unido e Estados Unidos.
Até quando o embargo petrolífera de 1973 durou?;O embargo se estendeu até março de 1974.
Quanto aumentou o preço do petróleo no mundo inteiro durante a crise petrolífera de 1973?;O preço subiu de US$ 3 por barril para cerca de US$ 12.
Como foi chamada posteriormente a crise petrolífera de 1973?;Foi chamada o 'primeiro choque do petróleo'.
Qual evento seguiu a crise petrolífera de 1973, conhecido como o segundo choque do petróleo?;A crise do petróleo de 1979.
Quais foram algumas das consequências econômicas e políticas globais da crise petrolífera de 1973?;Causou uma crise ou 'choque' de petróleo com muitos efeitos, tanto de curto quanto longo prazo, na política e economia global.
Quais outros países foram incluídos no embargo além dos primeiros alvos?;Portugal, Rodésia e África do Sul.
Qual foi o preço do petróleo nos Estados Unidos durante a crise petrolífera de 1973?;Os preços foram ainda mais altos que os US$ 12 no mundo inteiro.
Quais categorias são associadas à crise petrolífera de 1973, conforme mencionado nos fatos?;Algumas das categorias incluem 'Embargoes', 'Energy crises', e 'Arab–Israeli conflict'.
