Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Finalmente, vou assegurar-me de que o arquivo final tenha um cabeçalho adequado e que todas as informações sejam organizadas de maneira lógica e fácil de entender.,0.0,1.0,1.0,0.000,3.88462,7.01304,0.84,0.500
# CSV para representar entidades relacionadas a Jacksonville, Flórida,1.25,4.37319,1.0,0.167,0.0,1.0,1.0,0.000
1. Jacksonville, Florida,0.25,1.85566,1.0,0.000,0.0,1.0,1.0,0.000
    - Mouth Location: Jacksonville, Florida,2.0,2.50045,1.0,0.000,0.0,1.0,1.0,0.000
    - City: Jacksonville, Florida,1.5,1.85566,1.0,0.000,0.0,1.0,1.0,0.000
    - City: Jacksonville, Florida,1.5,1.85566,1.0,0.000,0.0,1.0,1.0,0.000
    - Located In Area: Jacksonville, Florida,2.5,3.01273,1.0,0.000,0.0,1.0,1.0,0.000
    - Location: Jacksonville, Florida,1.5,1.85566,1.0,0.000,0.0,1.0,1.0,0.000
    - City: Jacksonville, Florida,1.5,1.85566,1.0,0.000,0.0,1.0,1.0,0.000
    - Route Start: Jacksonville, FL,2.0,2.50045,1.0,0.000,0.0,1.0,1.0,0.000
    - Direction: West towards Tallahassee, FL,1.5,3.01273,1.0,0.000,0.0,1.0,1.0,0.000
    - Headquarters: Jacksonville, FL,1.5,1.85566,1.0,0.000,0.0,1.0,1.0,0.000
    - Nearest City: Jacksonville, FL,2.0,2.50045,1.0,0.000,0.0,1.0,1.0,0.000
    - Location: Jacksonville, FL,1.5,1.85566,1.0,0.000,0.0,1.0,1.0,0.000
    - Constituency: Jacksonville, FL,1.5,1.85566,1.0,0.000,0.0,1.0,1.0,0.000
    - Location: Jacksonville, Florida,1.5,1.85566,1.0,0.000,0.0,1.0,1.0,0.000
    - Birthplace: Jacksonville, FL,1.5,1.85566,1.0,0.000,0.0,1.0,1.0,0.000
    - Genres: Jazz, fusion,1.5,1.85566,1.0,0.000,0.0,1.0,1.0,0.000
    - City: Jacksonville, FL,1.5,1.85566,1.0,0.000,0.0,1.0,1.0,0.000
- This CSV represents a simplified version of the entities related to Jacksonville, Florida.,2.76923,5.20226,1.0,0.333,0.5,1.0,1.0,0.000
- For full details, please refer to the respective websites or official documents provided in each entry.,1.5,2.50045,1.0,0.000,5.71429,5.36491,1.0,0.000
