pergunta;resposta
1. Quando a Universidade de Harvard foi fundada?; 1636
2. Onde a Universidade de Harvard está localizada?; Cambridge, Massachusetts
3. Qual é a afiliação da Universidade de Harvard?; membro da Ivy League
4. Quantos laureados do Prêmio Nobel estão associados à Universidade de Harvard?; cerca de 150
5. Qual é o nome do campus principal da Universidade de Harvard?; Harvard Yard
6. Quem foi a primeira reitora feminina da Universidade de Harvard?; Drew Gilpin Faust
7. Em que ano a Universidade de Harvard tornou-se coeducacional?; 1977
8. Qual é o orçamento da Universidade de Harvard?; cerca de 30 bilhões de dólares em setembro de 2012
9. Quantas unidades acadêmicas a Universidade de Harvard possui?; onze (dez faculdades e o Instituto Radcliffe de Estudos Avançados)
10. Quem foi o reitor da Universidade de Harvard durante a Grande Depressão e a Segunda Guerra Mundial?; James Bryant Conant
Quando a Universidade de Harvard foi fundada?;1636  
Onde a Universidade de Harvard está localizada?;Cambridge, Massachusetts  
Qual é a afiliação da Universidade de Harvard?;membro da Ivy League  
Quantos laureados do Prêmio Nobel estão associados à Universidade de Harvard?;cerca de 150  
Qual é o nome do campus principal da Universidade de Harvard?;Harvard Yard  
Quem foi a primeira reitora feminina da Universidade de Harvard?;Drew Gilpin Faust  
Em que ano a Universidade de Harvard tornou-se coeducacional?;1977  
Qual é o orçamento da Universidade de Harvard?;cerca de 30 bilhões de dólares em setembro de 2012  
Quantas unidades acadêmicas a Universidade de Harvard possui?;onze  
Quem foi o reitor da Universidade de Harvard durante a Grande Depressão e a Segunda Guerra Mundial?;James Bryant Conant
