pergunta;resposta
Quando o IPCC foi estabelecido?;Em 1988
De qual organização da ONU faz parte o IPCC?;das Nações Unidas
Quais são as principais funções do IPCC?;Sintetizar e divulgar conhecimento científico sobre mudanças climáticas, incluindo causas, efeitos e riscos.
Quantos relatórios o IPCC produziu desde sua fundação?;Cinco grandes relatórios
O que levou ao Prêmio Nobel da Paz para o IPCC em 2007?;A qualidade e seriedade do seu trabalho, envolvendo milhares de cientistas renomados.
Qual é a sede do IPCC?;Geneva, Suíça
Quem é o atual presidente do IPCC?;Hoesung Lee
Qual foi a última publicação do IPCC?;Em 2014
O que é o modelo de página wiki usado pelo IPCC?;Template:Use dmy dates
Quem foi um dos fundadores do IPCC?;Bert Bolin
