Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
O que são comb jellies?,ctenóforos,1.5,3.43523,1.0,0.333,0.0,1.0,1.0,0.000
Qual é a principal característica dos ctenóforos?,'combs' - grupos de cilípios,1.75,4.10211,1.0,0.500,1.0,3.01273,1.0,0.000
Como se chamam os ctenóforos na comunidade científica?,comb jellies,1.66667,4.37319,1.0,0.250,0.5,1.85566,1.0,0.000
Em qual habitat vivem os ctenóforos?,águas marinhas,1.71429,3.79304,1.0,0.000,0.5,1.85566,1.0,0.000
Qual é o tamanho máximo do corpo dos ctenóforos?,1.5 m (4 pés 11 pol),2.7,4.61384,1.0,0.600,1.75,3.79304,1.0,0.250
Quais são as duas categorias de alimentação dos ctenóforos?,predadores e parasitas,1.8,4.61384,1.0,0.500,0.66667,2.50045,1.0,0.000
Quantas espécies de ctenóforos têm sido confirmadas até agora?,aproximadamente 100 a 150,2.0,4.61384,1.0,0.167,1.0,3.01273,1.0,0.000
O que significa o termo ctenóforo em grego?,κτείς kteis 'comb' e φέρω pherō 'carry',2.11111,4.51932,0.875,0.500,1.72727,4.10211,1.0,0.000
Em qual série do Cambriano foram encontrados ctenóforos fósseis?,Série 2,2.1,4.61384,1.0,0.167,0.5,1.85566,1.0,0.000
Ctenóforos são classificados como que tipo de organismos?,Eukaryóticos,2.0,4.37319,1.0,0.400,0.0,1.0,1.0,0.000
