pergunta;resposta
Quem foi o cientista que cunhou o termo "sistema imunitário" em 1882?;Ilya Ilyich Mechnikov
Qual é a área científica que estuda todos os aspectos do sistema imunitário?;Imunologia
Qual é o termo usado para descrever o sistema imunitário com atividade inferior ao normal?;Imunodeficiência
Qual é o termo usado para descrever um sistema imunitário hiperativo que ataca tecido normal?;Autoimunidade
Qual mecanismo permite ao organismo criar memória imunológica após uma resposta inicial a um agente específico?;Imunidade adquirida
Qual é o principal objetivo do sistema imunitário no organismo?;Proteger o organismo contra doenças
Que tipo de célula faz parte do sistema imunitário e é responsável por fagocitose?;Macrófago
Que células do sangue fazem parte do sistema imunitário?;Células brancas do sangue
Qual é o nome dado aos parasitas microscópicos que atacam bactérias e são combatidos por organismos unicelulares?;Bacteriófagos
Qual é o termo científico para o sistema imunitário?;Sistema imunológico
