pergunta;resposta
qual o ano de criação do IPCC?;1988
qual o principal objetivo do IPCC?;sintetizar e divulgar o conhecimento sobre as mudanças climáticas
quais organizações criaram o IPCC?;Programa das Nações Unidas para o Meio Ambiente (PNUMA) e a Organização Meteorológica Mundial (OMM)
o IPCC produz pesquisa original?;não, ele reúne e resume o conhecimento produzido por cientistas
qual prêmio o IPCC recebeu em 2007?;Prêmio Nobel da Paz
qual a sigla do IPCC?;IPCC
qual o foco principal dos relatórios produzidos pelo IPCC?;mudanças climáticas, aquecimento global, causas, efeitos e riscos
quais as áreas de conhecimento que o IPCC abrange?;científico e político
quantos relatórios o IPCC já produziu até 2014?;cinco grandes relatórios e alguns outros documentos
qual a importância do IPCC para as políticas climáticas?;é a principal base para o estabelecimento de políticas climáticas mundiais e nacionais
