Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Qual o objetivo principal do imperialismo segundo o contexto?,expansão do poder e domínio,2.3,4.75438,0.88889,1.000,1.0,3.43523,1.0,1.000
Qual forma de imperialismo envolve domínio colonial?,imperialismo formal,2.0,4.10211,1.0,0.600,0.5,1.85566,1.0,0.000
Como o imperialismo difere do colonialismo?,aplica-se a outras formas de expansão além do colonialismo,1.71429,3.79304,1.0,0.000,0.88889,4.61384,1.0,0.000
Qual livro é associado ao estudo do imperialismo?,Culture and Imperialism,2.11111,4.37319,1.0,0.400,1.0,2.50045,1.0,0.000
Qual evento histórico está ligado ao imperialismo como motivação?,genocídio Circasso,1.9,4.61384,1.0,0.333,0.5,1.85566,1.0,0.000
Quem é um exemplo de autor que estuda o imperialismo?,Michael Parenti,1.72727,4.82961,1.0,0.400,0.5,1.85566,1.0,0.000
Qual país é mencionado como relacionado ao imperialismo no contexto?,Portugal (em Angola),2.36364,4.82961,1.0,0.167,0.8,2.50045,1.0,0.000
Qual forma de imperialismo não envolve ocupação territorial?,imperialismo informal,2.0,4.37319,1.0,0.833,0.5,1.85566,1.0,0.000
O que caracteriza o imperialismo informal?,controle econômico e político indireto,1.57143,3.95066,0.83333,0.000,1.0,3.43523,1.0,0.750
