pergunta;resposta
1. Qual cidade da Flórida tem a maior população?;Jacksonville
2. Qual era a população da cidade de Jacksonville em 2010?;1,345,596
3. Com base apenas na população, qual é o ranking de Jacksonville nos Estados Unidos?;12ª
4. Em que condado reside Jacksonville?;Duval,
5. Em que ano a consolidação fez com que Jacksonville se tornasse parte do Condado de Duval?;1968.
6. Que rio corre ao lado de Jacksonville?;St. Johns,
7. Qual é a distância entre Jacksonville e Miami?;Approximadamente 549 km
8. Qual foi a colônia francesa fundada em 1564 na área de Jacksonville?;Fort Caroline,
9. Antes da chegada dos franceses, a área de Jacksonville estava habitada anteriormente por quais pessoas?;Timucua,
10. Que figura histórica recebeu o nome de Jacksonville?;Andrew Jackson
